日期,省级,地区,面积,人口,确诊,疑似,治愈,死亡,现存确诊
2020-02-26,,锡林郭勒盟,22.659345156832504,102.8,9,0,2,0,7
2020-02-26,,包头,2.998206280194504,265.04,11,0,5,0,6
2020-02-26,,呼和浩特,1.8269307125374956,286.66,7,0,2,0,5
2020-02-26,,通辽,6.62317219217999,313.92,7,0,2,0,5
2020-02-26,,赤峰,9.544249523424511,434.12,9,0,5,0,4
2020-02-26,,呼伦贝尔,31.498843800391494,254.93,7,0,4,0,3
2020-02-26,,鄂尔多斯,9.071011100066507,194.07,11,0,9,0,2
2020-02-26,,巴彦淖尔,6.992892146592011,166.99,8,0,6,0,2
2020-02-26,,乌兰察布,5.910194737302002,214.36,3,0,2,0,1
2020-02-26,,乌海市,0.1942287268849939,53.29,2,0,1,0,1
2020-02-26,,兴安盟,6.3116546912065035,161.33,1,0,0,0,1
2020-02-26,,乌鲁木齐,1.5861411261050038,311.03,23,0,13,0,10
2020-02-26,,伊犁州,6.2924867302655,248.26,18,0,8,0,10
2020-02-26,,兵团第四师,-1,-1,10,0,1,0,9
2020-02-26,,兵团第九师,-1,-1,4,0,1,1,2
2020-02-26,,吐鲁番市,-1,-1,3,0,1,0,2
2020-02-26,,兵团第八师石河子市,-1,-1,4,0,1,1,2
2020-02-26,,兵团第十二师,-1,-1,3,0,1,0,2
2020-02-26,,兵团第六师五家渠市,-1,-1,2,0,0,0,2
2020-02-26,,昌吉州,-1,-1,4,0,3,0,1
2020-02-26,,巴州,-1,-1,3,0,3,0,0
2020-02-26,,兵团第七师,-1,-1,1,0,1,0,0
2020-02-26,,阿克苏地区,-1,-1,1,0,1,0,0
2020-02-26,,河池,2.986130517165998,336.92,28,0,5,1,22
2020-02-26,,北海,0.4292243978265014,153.93,44,0,24,1,19
2020-02-26,,南宁,1.946719079616504,666.16,55,0,42,0,13
2020-02-26,,防城港,0.5537452224420009,86.69,19,0,8,0,11
2020-02-26,,来宾,1.1865472446769973,209.97,11,0,0,0,11
2020-02-26,,桂林,2.4822627948914993,474.8,32,0,23,0,9
2020-02-26,,柳州,1.6616017764860054,375.87,24,0,15,0,9
2020-02-26,,玉林,1.1249171974220027,548.74,11,0,7,0,4
2020-02-26,,贵港,0.9365181772125002,411.88,8,0,4,0,4
2020-02-26,,钦州,0.9832227984039995,307.97,8,0,7,0,1
2020-02-26,,梧州,1.1110087535665,288.22,5,0,5,0,0
2020-02-26,,贺州,1.0450802559519947,195.41,4,0,4,0,0
2020-02-26,,百色,3.214963220302003,346.68,3,0,3,0,0
2020-02-26,,西安,0.9904372905204973,846.78,120,0,94,1,25
2020-02-26,,汉中,2.6152665041634964,341.62,26,0,17,0,9
2020-02-26,,安康,2.265394231443501,262.99,26,0,20,0,6
2020-02-26,,渭南,1.2769465812264982,528.61,15,0,9,0,6
2020-02-26,,铜川,0.3850276387460003,83.44,8,0,6,0,2
2020-02-26,,商洛,1.903245252419503,234.17,7,0,5,0,2
2020-02-26,,咸阳,1.0151158926610002,489.48,17,0,16,0,1
2020-02-26,,宝鸡,1.7763265687969971,371.67,13,0,12,0,1
2020-02-26,,延安,3.7158056328815046,218.7,8,0,8,0,0
2020-02-26,,榆林,4.4128386881885024,335.14,3,0,3,0,0
2020-02-26,,韩城,-1,-1,1,0,1,0,0
2020-02-26,,杨凌,-1,-1,1,0,1,0,0
2020-02-26,,晋中,1.667818538574502,324.94,37,0,25,0,12
2020-02-26,,太原,0.707277178398501,420.16,20,0,16,0,4
2020-02-26,,大同,1.4844386774189957,331.81,12,0,8,0,4
2020-02-26,,晋城,0.9365472160749982,227.92,10,0,7,0,3
2020-02-26,,朔州,1.113396851633501,171.49,8,0,6,0,2
2020-02-26,,忻州,2.6118367327234995,306.75,7,0,5,0,2
2020-02-26,,运城,1.4100644780725033,513.48,19,0,18,0,1
2020-02-26,,长治,1.4035109391819989,333.46,8,0,7,0,1
2020-02-26,,吕梁,2.1575578728975016,372.71,6,0,6,0,0
2020-02-26,,阳泉,0.46858106121750376,136.85,4,0,4,0,0
2020-02-26,,临汾,2.035111797173507,431.66,2,0,2,0,0
2020-02-26,,长春,2.319484886936002,767.71,45,0,33,0,12
2020-02-26,,辽源,0.566505715986495,117.66,7,0,2,0,5
